15/02/2015,200
15/03/2015,200
15/04/2015,200
15/05/2015,200
15/06/2015,200
15/07/2015,200
15/08/2015,200
15/09/2015,200
15/10/2015,200
15/11/2015,200
15/12/2015,200
15/01/2016,200
15/02/2016,200
15/03/2016,200
15/04/2016,200
15/05/2016,200
15/06/2016,200
15/07/2016,200
15/08/2016,200
15/09/2016,200
15/10/2016,200
15/11/2016,200
15/12/2016,200
15/01/2017,200
15/02/2017,200
15/03/2017,200
15/04/2017,200
15/05/2017,200
15/06/2017,200
15/07/2017,200
15/08/2017,200
15/09/2017,200
15/10/2017,200
15/11/2017,200
15/12/2017,200
15/01/2018,200
15/02/2018,200
15/03/2018,200
15/04/2018,200
15/05/2018,200
15/06/2018,200
15/07/2018,200
15/08/2018,200
15/09/2018,200
15/10/2018,200
15/11/2018,200
15/12/2018,200
15/01/2019,200
15/02/2019,0
,
